DeviceTrustLevel,IPAddress,CurrentAccessTime,UserLocation,CurrentAccessLocation,PreviousAccessTime,PreviousAccessLocation,OS,OS_Version,Browser,Browser_Version,userTypingSpeed,userKeyHold,userFlightTime,patternMatch,OperationType
2,10437,21560,8,8,21528,8,0,6,1,13,71.05188098055756,102.93470135452148,109.77430518891474,1,1
2,8591,9405,8,5,9380,8,0,0,0,7,75.3600816749159,105.80682264061046,100.21850505595829,0,1
2,3976,4924,8,8,4932,8,1,15,0,5,85.69329989699092,95.33217242038485,106.90540359757534,1,1
2,20462,16478,0,8,16466,8,4,21,2,24,69.55244198468007,105.14503782634122,95.69260930324464,0,0
2,16854,18462,0,8,18463,6,4,22,1,11,81.233173316717,104.90200494074459,61.40510113285669,1,2
2,19158,22227,8,8,22193,9,3,7,1,13,60.96849291622932,85.3885142526546,91.60270783329585,2,0
0,20105,11238,8,8,11226,8,4,21,1,11,73.65774681730043,88.45158591948153,98.73289336876256,2,1
1,23154,3455,8,6,3459,8,2,16,3,16,57.512292525621795,90.43874653148632,88.3033807977931,2,1
1,14738,8520,8,6,8503,8,4,22,3,18,66.83972070277075,96.0694120060009,89.83496984843086,0,3
1,9550,19113,8,8,19107,1,1,15,0,6,54.366341197773195,78.95617906513243,70.03520973159556,2,2
1,5474,6601,8,8,6591,8,1,12,1,14,92.68258360234313,84.50458795572604,107.59809633791981,1,1
0,2218,3500,8,8,3506,8,4,19,1,13,59.08816858274431,93.95527794994315,84.92264573440661,0,2
2,2593,9277,8,8,9253,4,4,21,3,15,62.92358129827142,96.18539461502611,90.59462910656865,0,2
2,10390,11533,8,7,11516,8,2,2,1,11,58.0811699048266,90.2824244741089,87.0970447343081,0,3
1,1796,4172,2,1,4185,8,2,17,4,4,70.54422978803267,110.76434971907706,82.73554293914582,2,3
2,11551,20412,8,8,20389,8,4,18,2,20,61.84064664155741,98.84189371052508,89.80852045742554,2,0
1,12933,15072,8,8,15067,8,1,15,4,4,60.646126259672045,94.00252513309339,81.94071589065844,2,1
2,981,20506,0,8,20476,8,0,4,3,19,51.108481532979525,93.13151575595901,80.32182751765747,0,1
